Ticket #,Create Date,Close Date,Status
7335,2019-02-08 @ 09:18 AM,2019-02-08 @ 10:02 AM,closed
7336,2019-02-08 @ 10:51 AM,2019-02-08 @ 11:31 AM,closed
7337,2019-02-08 @ 11:33 AM,2019-02-08 @ 11:50 AM,closed
7338,2019-02-11 @ 08:48 AM,2019-02-11 @ 12:06 PM,closed
7339,2019-02-11 @ 08:54 AM,2019-02-11 @ 03:21 PM,closed
7340,2019-02-11 @ 09:43 AM,2019-04-02 @ 12:29 PM,closed
7341,2019-02-11 @ 11:45 AM,2019-02-11 @ 12:19 PM,closed
7342,2019-02-11 @ 12:45 PM,2019-02-14 @ 04:23 PM,closed
7343,2019-02-11 @ 01:57 PM,2019-02-12 @ 01:16 PM,closed
7344,2019-02-11 @ 02:03 PM,2019-02-11 @ 02:22 PM,closed
7345,2019-02-11 @ 02:33 PM,2019-02-11 @ 02:35 PM,closed
7346,2019-02-11 @ 02:36 PM,2019-02-11 @ 02:40 PM,closed
7347,2019-02-11 @ 03:18 PM,2019-02-11 @ 03:33 PM,closed
7348,2019-02-12 @ 08:28 AM,2019-02-12 @ 09:27 AM,closed
7349,2019-02-12 @ 10:33 AM,2019-02-13 @ 09:24 AM,closed
7350,2019-02-12 @ 01:45 PM,2019-02-12 @ 03:22 PM,closed
7351,2019-02-12 @ 02:12 PM,2019-02-15 @ 09:22 AM,closed
7352,2019-02-12 @ 02:21 PM,2019-02-18 @ 01:47 PM,closed
7353,2019-02-13 @ 08:19 AM,2019-02-13 @ 03:15 PM,closed
7354,2019-02-13 @ 11:08 AM,2019-02-13 @ 03:14 PM,closed
7355,2019-02-13 @ 01:48 PM,2019-02-13 @ 03:13 PM,closed
7356,2019-02-13 @ 02:59 PM,2019-02-19 @ 03:18 PM,closed
7357,2019-02-14 @ 08:25 AM,2019-02-14 @ 09:15 AM,closed
7358,2019-02-14 @ 09:08 AM,2019-02-19 @ 03:19 PM,closed
7359,2019-02-14 @ 04:37 PM,2019-02-15 @ 11:53 AM,closed
7360,2019-02-15 @ 07:58 AM,2019-02-15 @ 09:28 AM,closed
7361,2019-02-15 @ 11:39 AM,2019-02-15 @ 03:18 PM,closed
7362,2019-02-18 @ 08:24 AM,2019-02-18 @ 08:52 AM,closed
7363,2019-02-18 @ 10:58 AM,2019-02-18 @ 11:00 AM,closed
7364,2019-02-18 @ 02:02 PM,2019-02-25 @ 09:47 AM,closed
7365,2019-02-18 @ 02:22 PM,2019-04-18 @ 01:56 PM,closed
7366,2019-02-18 @ 02:22 PM,2019-04-02 @ 12:29 PM,closed
7367,2019-02-19 @ 08:05 AM,2019-02-25 @ 09:45 AM,closed
7368,2019-02-19 @ 08:46 AM,2019-02-28 @ 09:20 AM,closed
7369,2019-02-19 @ 09:35 AM,2019-02-19 @ 09:35 AM,closed
7370,2019-02-19 @ 09:36 AM,2019-02-19 @ 10:26 AM,closed
7371,2019-02-19 @ 09:39 AM,2019-02-25 @ 09:44 AM,closed
7372,2019-02-19 @ 09:44 AM,2019-02-19 @ 11:48 AM,closed
7373,2019-02-19 @ 12:22 PM,2019-03-21 @ 01:30 PM,closed
7374,2019-02-19 @ 12:55 PM,2019-02-19 @ 03:03 PM,closed
7375,2019-02-19 @ 01:50 PM,2019-02-25 @ 02:47 PM,closed
7376,2019-02-19 @ 02:48 PM,2019-03-12 @ 08:49 AM,closed
7377,2019-02-20 @ 07:47 AM,2019-02-20 @ 09:23 AM,closed
7378,2019-02-20 @ 08:16 AM,2019-02-20 @ 01:05 PM,closed
7379,2019-02-20 @ 08:35 AM,2019-02-20 @ 09:49 AM,closed
7380,2019-02-20 @ 10:36 AM,2019-02-21 @ 12:27 PM,closed
7381,2019-02-20 @ 01:33 PM,2019-02-20 @ 04:06 PM,closed
7382,2019-02-20 @ 02:39 PM,2019-02-25 @ 09:40 AM,closed
7383,2019-02-20 @ 03:35 PM,2019-02-20 @ 04:07 PM,closed
7384,2019-02-21 @ 10:00 AM,2019-02-21 @ 12:25 PM,closed
7385,2019-02-21 @ 03:23 PM,2019-04-26 @ 04:18 PM,closed
7386,2019-02-21 @ 03:23 PM,2021-07-26 @ 04:38 PM,closed
7387,2019-02-21 @ 04:16 PM,2019-09-24 @ 03:30 PM,closed
7388,2019-02-21 @ 04:19 PM,2019-03-07 @ 12:44 PM,closed
7389,2019-02-22 @ 08:07 AM,2019-02-22 @ 08:49 AM,closed
7390,2019-02-22 @ 09:43 AM,2019-03-12 @ 03:17 PM,closed
7391,2019-02-22 @ 09:44 AM,2019-04-22 @ 09:29 AM,closed
7392,2019-02-22 @ 10:34 AM,2019-02-22 @ 04:29 PM,closed
7393,2019-02-22 @ 11:15 AM,2019-02-22 @ 02:38 PM,closed
7394,2019-02-22 @ 11:36 AM,2019-02-22 @ 04:30 PM,closed
